City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Aykhal,RU,2022-02-11 07:26:12,66.0,111.5,1.42,95,98,7.96,overcast clouds
196,Maltahohe,NA,2022-02-11 07:26:13,-24.8333,16.9833,77.05,47,84,3.76,broken clouds
197,La Romana,DO,2022-02-11 07:26:13,18.4273,-68.9728,76.73,84,0,6.31,clear sky
198,Batagay,RU,2022-02-11 07:26:13,67.6333,134.6333,-26.37,98,95,1.63,overcast clouds
199,Weyburn,CA,2022-02-11 07:26:14,49.6668,-103.8511,7.18,78,57,26.46,broken clouds
200,Zhanaozen,KZ,2022-02-11 07:26:14,43.3,52.8,37.26,61,14,16.87,few clouds
201,Kununurra,AU,2022-02-11 07:26:15,-15.7667,128.7333,98.58,41,40,10.36,scattered clouds
202,Zverinogolovskoye,RU,2022-02-11 07:26:15,54.4586,64.8542,10.69,91,100,14.88,overcast clouds
203,Sangar,RU,2022-02-11 07:26:16,63.9242,127.4739,-24.88,98,51,0.85,broken clouds
204,Yar-Sale,RU,2022-02-11 07:26:16,66.8333,70.8333,2.75,78,1,17.72,clear sky
205,Usinsk,RU,2022-02-11 07:26:16,65.9939,57.5281,18.88,78,100,18.41,overcast clouds
206,Kruisfontein,ZA,2022-02-11 07:26:17,-34.0033,24.7314,72.3,59,0,2.06,clear sky
207,Norilsk,RU,2022-02-11 07:23:05,69.3535,88.2027,2.43,87,12,8.86,few clouds
208,Lovozero,RU,2022-02-11 07:26:17,68.005,35.0117,13.96,93,100,3.42,overcast clouds
209,Flinders,AU,2022-02-11 07:26:18,-34.5833,150.8552,73.8,84,100,13.38,overcast clouds
210,San Andres,CO,2022-02-11 07:26:18,12.5847,-81.7006,78.82,83,20,10.36,few clouds
211,Lebu,CL,2022-02-11 07:26:18,-37.6167,-73.65,54.39,68,2,19.01,clear sky
212,Barrow,US,2022-02-11 07:26:19,71.2906,-156.7887,-20.18,69,100,11.5,overcast clouds
